x,Ajax,Aurora,Brampton,Brock,Burlington,Caledon,Clarington,East Gwillimbury,Georgina,Halton Hills,Kingston,Markham,Milton,Mississauga,Newmarket,Oakville,Oshawa,Pickering,Richmond Hill,Toronto,Uxbridge,Vaughan,Whitby
Ajax,0,63232,75307,-,102384,90965,-,-,92861,98990,-,-,86871,-,68739,-,16084,-,-,-,-,54703,-
Aurora,-,0,-,-,-,49700,-,-,38493,-,-,-,83678,-,7110,-,77110,-,-,-,-,22154,-
Brampton,-,71276,0,-,60984,17281,-,-,100905,33792,-,-,33881,-,69090,-,89032,-,-,-,-,40654,-
Brock,62965,62463,124388,0,167410,103833,-,-,31542,152426,-,78747,140307,-,55606,139658,56520,-,76818,-,31712,83980,-
Burlington,-,110991,-,-,0,73303,-,-,140620,62270,-,-,28083,-,108806,-,117755,-,-,-,-,80369,-
Caledon,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clarington,38320,98081,110156,83415,137233,125814,0,-,127710,133839,-,74275,121720,-,103588,117725,28616,-,85099,-,66872,91100,34847
East Gwillimbury,70267,15086,75004,49218,118026,54555,108135,0,24980,103042,286845,33353,90923,78732,6239,90274,84355,63226,29442,56407,31833,36603,73626
Georgina,-,-,-,-,-,79191,-,-,0,-,-,-,-,-,30964,-,-,-,-,-,-,59337,-
Halton Hills,-,98062,-,-,-,27402,-,-,127691,0,-,-,19884,-,95876,-,112663,-,-,-,-,67440,-
Kingston,218835,278597,290672,263931,317749,306330,184848,-,308226,314355,0,254790,302236,-,284104,298240,209132,-,265615,-,247388,271616,215363
Markham,46042,26118,49508,-,92529,65166,-,-,55747,77546,-,0,65427,-,31625,64778,52731,-,13136,-,51719,20692,-
Milton,-,-,-,-,-,47685,-,-,113337,-,-,-,0,-,81523,-,98309,-,-,-,-,53086,-
Mississauga,67865,72618,21110,128038,40437,36769,103934,-,102247,45517,283789,53066,29288,0,70432,21683,81299,60833,48497,-,100004,41995,76342
Newmarket,-,-,-,-,-,48129,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
Oakville,82977,85161,40807,-,21454,56465,-,-,114790,37768,-,-,24712,-,83223,0,96411,-,61040,-,-,54786,-
Oshawa,-,-,-,-,-,104110,-,-,106006,-,-,-,-,-,81885,-,0,-,-,-,-,69396,-
Pickering,8932,55600,67676,66044,94752,83334,45001,-,85229,91358,224856,32899,79239,-,61108,75244,22366,0,42619,-,33820,47071,17409
Richmond Hill,50103,16407,44935,-,87957,60593,-,-,52942,72973,-,-,60854,-,28820,-,64191,-,0,-,-,7216,-
Toronto,46484,49218,44082,103407,57192,59740,82553,-,78847,67774,262408,28846,55655,27528,54725,37684,59918,39452,36236,0,76852,40689,54960
Uxbridge,36522,32475,96353,-,139375,112011,-,-,47002,124391,-,-,112272,-,30457,111623,43212,-,43509,-,0,67538,-
Vaughan,-,-,-,-,-,54539,-,-,-,-,-,-,-,-,34963,-,-,-,-,-,-,0,-
Whitby,12834,66891,87532,53145,111747,103190,-,-,96520,108353,-,41891,96234,-,72399,92239,7885,-,53909,-,32535,58716,0
